BNLN,National Bank Of Georgia,საქართველოს ეროვნული ბანკი,nbg,#4b4a4b,#4b4a4b,0,0
BAGA,Bank Of Georgia,საქართველოს ბანკი,bog,#ed7623,#ed7623,1,0
TBCB,TBC Bank,თიბისი ბანკი,tbc,#25aae1,#25aae1,2,0
REPL,Bank Republic,ბანკი რესპუბლიკა,republic,#c11f4d,#c11f4d,3,0
LBRT,Liberty Bank,ლიბერთი ბანკი,lb,#ea4e65,#ea4e65,4,0
MIBG,ProCredit Bank,პროკრედიტ ბანკი,procredit,#c6007e,#c6007e,5,0
CRTU,Cartu Bank,ბანკი ქართუ,cartu,#597abc,#597abc,6,0
UGEB,VTB Bank,ვითიბი ბანკი,vtb,#303f96,#303f96,7,0
PRSG,Progress Bank,პროგრეს ბანკი,progress,#78299d,#78299d,8,0
KSBG,Terabank,ტერაბანკი,ksb,#a3c3dd,#a3c3dd,9,0
CBAS,Basisbank,ბაზისბანკი,basis,#334cb1,#334cb1,10,0
CPTB,Capital Bank,კაპიტალ ბანკი,capital,#dec277,#dec277,11,0
FGEO,Finca Bank,ფინკა ბანკი,finca,#5761c2,#5761c2,12,0
HABG,Halyk Bank,ხალიკ ბანკი,halyk,#00c181,#00c181,13,0
DISN,Silk Road Bank,სილქ როუდ ბანკი,silk,#facb36,#facb36,14,0
PAHA,Pasha Bank,პაშა ბანკი,pasha,#008d56,#008d56,15,0
IBAZ,International Bank of Azerbaijan,აზერბაიჯანის საერთაშორისო ბანკი,azerbaijan,#232c62,#232c62,16,0
DEVG,Caucasus Development Bank Georgia,კავკასიის განვითარების ბანკი საქართველო,caucasus,#006633,#006633,17,0
RICO,Rico Credit,რიკო კრედიტი,ricocredit,#6e0099,#6e0099,18,1
CRMO,Crystal Microfinance Organization,კრისტალი მიკროსაფინანსო ორგანიზაცია,crystal,#f40069,#f40069,19,1
BOMO,Bonaco Microfinance Organization,ბონაკო მიკროსაფინანსო ორგანიზაცია,bonaco,#7dea00,#7dea00,20,1
ALPE,Alpha Express,ალფა ექსპრესი,alfa,#ed0000,#ed0000,21,1
JABA,Jaba Credit,ჯაბა კრედიტი,jaba,#a42991,#a42991,22,1
GIRO,Giro Credit,გირო კრედიტი,giro,#7b973c,#7b973c,23,1
CRED,Creditor,კრედიტორი,cred,#9ad187,#9ad187,24,1
INTE,Intel Express,ინტელიექსპრესი,inte,#ef372e,#ef372e,25,1
FINC,Fincredit,ფინკრედიტი,finc,#004366,#004366,26,1
MIBC,Micro Business Capital,მიკრო ბიზნეს კაპიტალი,mibc,#d21c23,#d21c23,27,1
TBMC,Tbilmicrocredit,თბილმიკროკრედიტი,tbmc,#d5b796,#d5b796,28,1
GOAC,Goa Credit,გოა კრედიტი,goac,#3680d5,#3680d5,29,1
